"","region","time","date","period","b1"
"1","Wyoming",0,2020-03-05,"baseline",0.31
"2","Wyoming",1,2020-03-06,"baseline",0.31
"3","Wyoming",2,2020-03-07,"baseline",0.31
"4","Wyoming",3,2020-03-08,"baseline",0.31
"5","Wyoming",4,2020-03-09,"baseline",0.31
"6","Wyoming",5,2020-03-10,"baseline",0.31
"7","Wyoming",6,2020-03-11,"baseline",0.31
"8","Wyoming",7,2020-03-12,"baseline",0.31
"9","Wyoming",8,2020-03-13,"baseline",0.31
"10","Wyoming",9,2020-03-14,"baseline",0.31
"11","Wyoming",9,2020-03-14,"step1",0
"12","Wyoming",10,2020-03-15,"step1",0
"13","Wyoming",11,2020-03-16,"step1",0
"14","Wyoming",11,2020-03-16,"step2",0
"15","Wyoming",12,2020-03-17,"step2",0
"16","Wyoming",13,2020-03-18,"step2",0
"17","Wyoming",13,2020-03-18,"step3",0
"18","Wyoming",14,2020-03-19,"step3",0
"19","Wyoming",15,2020-03-20,"step3",0
"20","Wyoming",15,2020-03-20,"step4",0
"21","Wyoming",16,2020-03-21,"step4",0
"22","Wyoming",17,2020-03-22,"step4",0
"23","Wyoming",17,2020-03-22,"step5",0
"24","Wyoming",18,2020-03-23,"step5",0
"25","Wyoming",19,2020-03-24,"step5",0
"26","Wyoming",19,2020-03-24,"step6",0
"27","Wyoming",20,2020-03-25,"step6",0
"28","Wyoming",21,2020-03-26,"step6",0
"29","Wyoming",21,2020-03-26,"step7",0
"30","Wyoming",22,2020-03-27,"step7",0
"31","Wyoming",23,2020-03-28,"step7",0
"32","Wyoming",23,2020-03-28,"step8",0.53
"33","Wyoming",24,2020-03-29,"step8",0.53
"34","Wyoming",25,2020-03-30,"step8",0.53
"35","Wyoming",25,2020-03-30,"step9",0.81
"36","Wyoming",26,2020-03-31,"step9",0.81
"37","Wyoming",27,2020-04-01,"step9",0.81
"38","Wyoming",27,2020-04-01,"step10",0.72
"39","Wyoming",28,2020-04-02,"step10",0.72
"40","Wyoming",29,2020-04-03,"step10",0.72
"41","Wyoming",29,2020-04-03,"step11",0.63
"42","Wyoming",30,2020-04-04,"step11",0.63
"43","Wyoming",31,2020-04-05,"step11",0.63
"44","Wyoming",31,2020-04-05,"step12",0.53
"45","Wyoming",32,2020-04-06,"step12",0.53
"46","Wyoming",33,2020-04-07,"step12",0.53
"47","Wyoming",33,2020-04-07,"step13",0.45
"48","Wyoming",34,2020-04-08,"step13",0.45
"49","Wyoming",35,2020-04-09,"step13",0.45
"50","Wyoming",35,2020-04-09,"step14",0.38
"51","Wyoming",36,2020-04-10,"step14",0.38
"52","Wyoming",37,2020-04-11,"step14",0.38
"53","Wyoming",37,2020-04-11,"step15",0.31
"54","Wyoming",38,2020-04-12,"step15",0.31
"55","Wyoming",39,2020-04-13,"step15",0.31
"56","Wyoming",39,2020-04-13,"step16",0.26
"57","Wyoming",40,2020-04-14,"step16",0.26
"58","Wyoming",41,2020-04-15,"step16",0.26
"59","Wyoming",41,2020-04-15,"step17",0.2
"60","Wyoming",42,2020-04-16,"step17",0.2
"61","Wyoming",43,2020-04-17,"step17",0.2
"62","Wyoming",43,2020-04-17,"step18",0.12
"63","Wyoming",44,2020-04-18,"step18",0.12
"64","Wyoming",45,2020-04-19,"step18",0.12
"65","Wyoming",45,2020-04-19,"step19",0
"66","Wyoming",46,2020-04-20,"step19",0
"67","Wyoming",47,2020-04-21,"step19",0
"68","Wyoming",47,2020-04-21,"step20",0
"69","Wyoming",48,2020-04-22,"step20",0
"70","Wyoming",49,2020-04-23,"step20",0
"71","Wyoming",49,2020-04-23,"step21",0
"72","Wyoming",50,2020-04-24,"step21",0
"73","Wyoming",51,2020-04-25,"step21",0
"74","Wyoming",51,2020-04-25,"step22",0
"75","Wyoming",52,2020-04-26,"step22",0
"76","Wyoming",53,2020-04-27,"step22",0
"77","Wyoming",53,2020-04-27,"step23",0
"78","Wyoming",54,2020-04-28,"step23",0
"79","Wyoming",55,2020-04-29,"step23",0
"80","Wyoming",55,2020-04-29,"step24",0
"81","Wyoming",56,2020-04-30,"step24",0
"82","Wyoming",57,2020-05-01,"step24",0
"83","Wyoming",57,2020-05-01,"step25",0
"84","Wyoming",58,2020-05-02,"step25",0
"85","Wyoming",59,2020-05-03,"step25",0
"86","Wyoming",59,2020-05-03,"step26",0
"87","Wyoming",60,2020-05-04,"step26",0
"88","Wyoming",61,2020-05-05,"step26",0
"89","Wyoming",61,2020-05-05,"step27",0.34
"90","Wyoming",62,2020-05-06,"step27",0.34
"91","Wyoming",63,2020-05-07,"step27",0.34
"92","Wyoming",63,2020-05-07,"step28",0.42
"93","Wyoming",64,2020-05-08,"step28",0.42
"94","Wyoming",65,2020-05-09,"step28",0.42
"95","Wyoming",65,2020-05-09,"step29",0.4
"96","Wyoming",66,2020-05-10,"step29",0.4
"97","Wyoming",67,2020-05-11,"step29",0.4
"98","Wyoming",67,2020-05-11,"step30",0.35
"99","Wyoming",68,2020-05-12,"step30",0.35
"100","Wyoming",68,2020-05-12,"step31",0.32
"101","Wyoming",68,2020-05-12,"step32",0.32
"102","Wyoming",69,2020-05-13,"step32",0.32
"103","Wyoming",70,2020-05-14,"step32",0.32
"104","Wyoming",70,2020-05-14,"step33",0.27
"105","Wyoming",71,2020-05-15,"step33",0.27
"106","Wyoming",72,2020-05-16,"step33",0.27
"107","Wyoming",72,2020-05-16,"step34",0.22
"108","Wyoming",73,2020-05-17,"step34",0.22
"109","Wyoming",74,2020-05-18,"step34",0.22
"110","Wyoming",74,2020-05-18,"step35",0.15
"111","Wyoming",75,2020-05-19,"step35",0.15
"112","Wyoming",76,2020-05-20,"step35",0.15
"113","Wyoming",76,2020-05-20,"step36",0.04
"114","Wyoming",77,2020-05-21,"step36",0.04
"115","Wyoming",78,2020-05-22,"step36",0.04
"116","Wyoming",78,2020-05-22,"step37",0.01
"117","Wyoming",79,2020-05-23,"step37",0.01
"118","Wyoming",80,2020-05-24,"step37",0.01
"119","Wyoming",80,2020-05-24,"step38",0
"120","Wyoming",81,2020-05-25,"step38",0
"121","Wyoming",82,2020-05-26,"step38",0
"122","Wyoming",82,2020-05-26,"step39",0
"123","Wyoming",83,2020-05-27,"step39",0
"124","Wyoming",84,2020-05-28,"step39",0
"125","Wyoming",84,2020-05-28,"step40",0
"126","Wyoming",85,2020-05-29,"step40",0
"127","Wyoming",86,2020-05-30,"step40",0
"128","Wyoming",86,2020-05-30,"step41",0
"129","Wyoming",87,2020-05-31,"step41",0
"130","Wyoming",88,2020-06-01,"step41",0
"131","Wyoming",88,2020-06-01,"step42",0
"132","Wyoming",89,2020-06-02,"step42",0
"133","Wyoming",90,2020-06-03,"step42",0
